,Date,Weighted_Sentiment_Score,Like Count,Retweet Count,Follower Count,Daily_Avg_Sentiment_Score,Polarity,Tweet Volume
224,2010-08-26,5304.1503999999995,0,0,24797,0.2139029076097915,positive,24
225,2010-08-27,2377.0032,0,3,320072,0.007426394438803406,neutral,15
226,2010-08-28,902.2887999999999,0,0,7104,0.12701137387387387,positive,12
227,2010-08-29,0.0,0,2,1625,0.0,neutral,3
228,2010-08-30,3557.9701999999997,0,0,58228,0.06110411142405715,positive,24
229,2010-08-31,-999.2181999999998,0,2,84695,-0.01179756307779496,neutral,19
230,2010-09-03,734.6598,1,0,1174,0.6252423829787234,positive,4
231,2010-09-04,1353.0900000000001,0,0,3404,0.3975,positive,2
232,2010-09-05,83.3552,0,0,1620,0.05145382716049383,positive,3
233,2010-09-06,0.0,0,0,62,0.0,neutral,2
234,2010-09-07,746.1306,0,0,1854,0.4024436893203883,positive,4
235,2010-09-08,-291.19620000000003,0,6,79108,-0.003680716434512223,neutral,13
236,2010-09-09,4475.268,2,2,144493,0.03097135580669495,neutral,10
237,2010-09-10,-1829.5057999999985,0,1,64391,-0.028412004596844304,neutral,32
238,2010-09-11,36344.1189,0,4,112767,0.32228249195271835,positive,53
239,2010-09-12,37140.7463,2,13,1048755,0.035413623864145614,neutral,156
240,2010-09-13,2541.3875,0,0,98947,0.025684331005487785,neutral,18
241,2010-09-14,-12045.5544,0,6,179902,-0.06695396758343154,negative,31
242,2010-09-15,44304.1357,0,4,66133,0.6698842659933169,positive,25
243,2010-09-16,30970.6274,1,0,77878,0.39767623364449983,positive,23
244,2010-09-17,43913.4181,0,5,128695,0.34120759984459986,positive,28
245,2010-09-18,1286.9615000000006,0,0,22336,0.05761826199856736,positive,22
246,2010-09-19,5417.865100000001,0,4,22945,0.23608284021090248,positive,29
247,2010-09-20,60238.980299999996,0,4,129756,0.4642338185881627,positive,34
248,2010-09-21,79837.25259999999,0,2,432492,0.1845973645877168,positive,37
249,2010-09-22,5467.3063999999995,0,6,137723,0.0396961162863304,neutral,46
250,2010-09-23,36732.4502,2,1,107074,0.34304706146044434,positive,47
251,2010-09-24,-4140.434999999998,0,2,77653,-0.053318331079775905,negative,41
252,2010-09-25,302801.477,0,2,540109,0.5606282356774811,positive,13
253,2010-09-26,10639.918300000001,0,2,34351,0.3097231187960295,positive,35
254,2010-09-27,22339.5761,2,8,132777,0.1682361684502248,positive,57
255,2010-09-28,65131.898400000005,0,5,255226,0.2551880390704891,positive,57
256,2010-09-29,21783.4252,3,1,83296,0.2615057046818728,positive,46
257,2010-09-30,10512.4783,0,2,112923,0.0930925685189285,positive,31
258,2010-10-01,2682.6484,0,0,8263,0.3246579208519908,positive,9
259,2010-10-02,1352.72,0,0,5926,0.22826864664191698,positive,4
260,2010-10-03,104564.5621,0,1,146630,0.7131136124011975,positive,5
261,2010-10-04,155.03879999999998,0,0,37389,0.004146642060499077,neutral,11
262,2010-10-05,2576.8756,0,0,36141,0.07130061702775241,positive,11
263,2010-10-06,1520.0562,0,0,6435,0.2362169696969697,positive,7
264,2010-10-07,3636.4301,0,0,10849,0.33518574062125545,positive,12
265,2010-10-08,-498.55599999999873,0,6,253502,-0.001966628272086083,neutral,53
266,2010-10-09,7089823.3922999995,6,12,18711939,0.3788926723324556,positive,36
267,2010-10-10,4307.7496,11,29,19653,0.21874521911339054,positive,30
268,2010-10-11,32273.8027,3,3,124147,0.25995185537200066,positive,47
269,2010-10-12,4868.3575,1,8,138659,0.03510800977875213,neutral,72
270,2010-10-13,3518.1169999999997,0,5,245314,0.014340988671892515,neutral,59
271,2010-10-14,2817.8477000000003,0,2,151826,0.018559473219695973,neutral,53
272,2010-10-15,82402.69380000001,2,0,276308,0.29822552133473273,positive,50
273,2010-10-16,65979.9973,0,0,151167,0.4364709050255678,positive,30
274,2010-10-17,15724.791699999998,0,0,275802,0.057014784881908025,positive,26
275,2010-10-18,54952.2353,0,4,110169,0.4987813284561553,positive,44
276,2010-10-19,36408.2481,0,10,178313,0.20417023098534678,positive,50
277,2010-10-20,16310.265800000001,2,2,98237,0.1660230026160157,positive,45
278,2010-10-21,-10064.546600000003,0,7,143171,-0.07029394599729011,negative,50
279,2010-10-22,14451.473,0,0,178597,0.08091666153406832,positive,52
280,2010-10-23,27691.9853,0,0,76495,0.36201039675795804,positive,28
281,2010-10-24,2096.3810000000003,0,0,29902,0.07010838739883621,positive,29
282,2010-10-25,59498.8421,0,0,228180,0.2607539753703217,positive,69
283,2010-10-26,53785.878899999996,0,4,304198,0.17680974779915976,positive,57
284,2010-10-27,14959.323199999999,0,4,87359,0.1712317937799755,positive,42
285,2010-10-28,23621.021399999998,0,0,153001,0.1543847517336488,positive,54
286,2010-10-29,118055.46990000001,0,6,399245,0.29569235869165017,positive,69
287,2010-10-30,-12892.235099999993,1,9,465934,-0.027669065595865582,neutral,33
288,2010-10-31,218607.39450000002,1,1,1068461,0.2045998733695037,positive,58
289,2010-11-01,4807.572,0,0,13611,0.3532122547939167,positive,2
290,2010-11-02,474.75120000000004,0,0,6527,0.0727365098820285,positive,5
291,2010-11-03,79.1028,0,0,219,0.3612,positive,1
292,2010-11-04,2131.152,0,0,7945,0.2682381371932033,positive,5
293,2010-11-05,0.0,0,0,1330,0.0,neutral,2
294,2010-11-06,1161.6073999999999,0,0,2314,0.5019910976663785,positive,6
295,2010-11-07,673.5844,0,0,5176,0.13013608964451312,positive,8
296,2010-11-08,1756.5388000000007,0,0,91820,0.019130241777390554,neutral,41
297,2010-11-09,128362.63289999998,0,4,514793,0.24934611681886254,positive,19
298,2010-11-10,73338.88320000001,2,1,320264,0.22899294401233974,positive,31
299,2010-11-11,15376.6011,5,0,131243,0.11715684124710472,positive,50
300,2010-11-12,9970.6421,0,1,50939,0.19573306046329011,positive,43
301,2010-11-13,13182.204600000001,0,2,66319,0.19876365856968384,positive,47
302,2010-11-14,17133.7225,0,1,115567,0.14825663245881213,positive,63
303,2010-11-15,2342.9879,0,2,279955,0.008369099183088832,neutral,65
304,2010-11-16,20638.6859,0,0,122963,0.1678446841732879,positive,52
305,2010-11-17,207265.6239,0,5,411459,0.5037272371337468,positive,43
306,2010-11-18,36696.520800000006,0,3,96073,0.3819530455056414,positive,59
307,2010-11-19,20070.918,0,3,57863,0.3468516572771576,positive,34
308,2010-11-20,7975.0301,0,0,36304,0.21967359244160423,positive,36
309,2010-11-21,4917.0062,0,1,450780,0.010907749439306448,neutral,36
310,2010-11-22,60942.1498,0,6,192408,0.3167240938809026,positive,79
311,2010-11-23,53773.4636,1,6,177024,0.303751679649327,positive,72
312,2010-11-24,48943.927599999995,0,1,111138,0.4403848118122351,positive,69
313,2010-11-25,18571.7445,0,6,159727,0.1162674243894499,positive,70
314,2010-11-26,17677.0439,1,0,63701,0.277495901227591,positive,51
315,2010-11-27,56178.5219,0,2,258881,0.2170035185778904,positive,59
316,2010-11-28,15989.204099999999,0,0,74490,0.21464900120821587,positive,60
317,2010-11-29,49552.7676,0,0,161327,0.30715731154735415,positive,49
318,2010-11-30,49557.6463,1,4,183937,0.26941996009611724,positive,86
319,2010-12-01,855.0109,0,0,1231,0.6945661251015435,positive,2
320,2010-12-02,1334.8905,0,0,3167,0.4215,positive,1
321,2010-12-04,-40.85009999999998,0,0,1191,-0.034298992443324926,neutral,5
322,2010-12-05,0.0,0,0,11514,0.0,neutral,4
323,2010-12-06,575.2437,1,0,2098,0.2740560743211053,positive,9
324,2010-12-07,433.35360000000003,0,0,1191,0.36385692695214106,positive,3
325,2010-12-08,5448.2246000000005,0,0,40339,0.13506097325169192,positive,14
326,2010-12-09,-1543.3984999999993,0,4,27178,-0.05678016702229414,negative,19
327,2010-12-10,3418.7382000000007,4,9,368800,0.009269570758080655,neutral,60
328,2010-12-11,43292.7801,0,1,177291,0.24418913487354196,positive,36
329,2010-12-12,46442.7488,2,3,89848,0.5168747710148799,positive,51
